product_id,stock,mean_monthly_demand,stockout_probability,ci_95_lower,ci_95_upper,recommended_reorder_point
77.0,88.0,1.8,0.0,0.0,0.0,3.7
81.0,401.0,1.8,0.0,0.0,0.0,4.0
79.0,492.0,1.6,0.0,0.0,0.0,3.1
83.0,422.0,2.2,0.0,0.0,0.0,4.7
84.0,439.0,2.4,0.0,0.0,0.0,4.8
85.0,39.0,2.2,0.0,0.0,0.0,4.6
80.0,317.0,2.3,0.0,0.0,0.0,5.2
87.0,454.0,1.5,0.0,0.0,0.0,2.7
88.0,308.0,2.3,0.0,0.0,0.0,5.5
89.0,78.0,2.0,0.0,0.0,0.0,5.3
90.0,393.0,2.1,0.0,0.0,0.0,4.1
91.0,268.0,2.5,0.0,0.0,0.0,4.8
92.0,449.0,1.9,0.0,0.0,0.0,4.2
93.0,398.0,2.7,0.0,0.0,0.0,5.4
82.0,97.0,2.2,0.0,0.0,0.0,4.4
95.0,154.0,2.0,0.0,0.0,0.0,4.2
97.0,465.0,2.5,0.0,0.0,0.0,4.9
99.0,213.0,1.7,0.0,0.0,0.0,3.3
98.0,57.0,1.9,0.0,0.0,0.0,4.2
101.0,411.0,1.7,0.0,0.0,0.0,3.1
102.0,325.0,2.3,0.0,0.0,0.0,5.2
103.0,166.0,2.1,0.0,0.0,0.0,4.4
100.0,350.0,1.9,0.0,0.0,0.0,3.3
104.0,498.0,2.0,0.0,0.0,0.0,3.9
106.0,473.0,2.2,0.0,0.0,0.0,4.4
108.0,49.0,1.8,0.0,0.0,0.0,3.4
110.0,73.0,1.7,0.0,0.0,0.0,3.6
111.0,311.0,1.9,0.0,0.0,0.0,4.0
112.0,378.0,2.6,0.0,0.0,0.0,4.9
113.0,357.0,1.9,0.0,0.0,0.0,3.4
86.0,263.0,2.9,0.0,0.0,0.0,5.7
114.0,220.0,2.3,0.0,0.0,0.0,4.5
115.0,80.0,2.0,0.0,0.0,0.0,4.2
117.0,314.0,2.1,0.0,0.0,0.0,4.1
116.0,314.0,2.5,0.0,0.0,0.0,6.7
119.0,268.0,1.8,0.0,0.0,0.0,3.2
120.0,220.0,1.6,0.0,0.0,0.0,3.2
123.0,384.0,2.1,0.0,0.0,0.0,4.3
118.0,82.0,2.3,0.0,0.0,0.0,4.7
125.0,276.0,2.6,0.0,0.0,0.0,5.5
126.0,178.0,2.4,0.0,0.0,0.0,4.5
128.0,296.0,1.6,0.0,0.0,0.0,2.9
130.0,154.0,2.0,0.0,0.0,0.0,4.2
131.0,128.0,2.3,0.0,0.0,0.0,4.5
132.0,306.0,2.3,0.0,0.0,0.0,4.2
133.0,284.0,1.8,0.0,0.0,0.0,3.5
134.0,408.0,2.3,0.0,0.0,0.0,4.9
135.0,106.0,2.4,0.0,0.0,0.0,4.3
136.0,458.0,2.1,0.0,0.0,0.0,4.3
137.0,259.0,1.7,0.0,0.0,0.0,2.8
138.0,457.0,2.3,0.0,0.0,0.0,4.5
139.0,249.0,2.6,0.0,0.0,0.0,6.0
141.0,203.0,2.6,0.0,0.0,0.0,5.2
142.0,126.0,2.7,0.0,0.0,0.0,5.8
143.0,253.0,2.2,0.0,0.0,0.0,4.5
144.0,183.0,1.8,0.0,0.0,0.0,3.7
145.0,435.0,2.1,0.0,0.0,0.0,4.2
146.0,128.0,2.7,0.0,0.0,0.0,5.7
147.0,388.0,2.4,0.0,0.0,0.0,5.0
148.0,269.0,2.5,0.0,0.0,0.0,5.4
149.0,447.0,2.0,0.0,0.0,0.0,4.2
37.0,100.0,1.8,0.0,0.0,0.0,3.5
38.0,94.0,2.0,0.0,0.0,0.0,3.8
152.0,160.0,2.0,0.0,0.0,0.0,3.9
151.0,383.0,2.0,0.0,0.0,0.0,3.9
155.0,218.0,2.0,0.0,0.0,0.0,4.0
153.0,182.0,2.2,0.0,0.0,0.0,4.3
157.0,452.0,2.4,0.0,0.0,0.0,5.1
158.0,331.0,1.9,0.0,0.0,0.0,3.7
159.0,71.0,2.1,0.0,0.0,0.0,4.1
154.0,334.0,2.0,0.0,0.0,0.0,4.2
161.0,329.0,2.1,0.0,0.0,0.0,4.5
162.0,307.0,2.2,0.0,0.0,0.0,4.3
163.0,408.0,1.8,0.0,0.0,0.0,3.7
164.0,443.0,2.0,0.0,0.0,0.0,3.9
165.0,271.0,2.7,0.0,0.0,0.0,6.3
166.0,212.0,2.4,0.0,0.0,0.0,5.7
168.0,140.0,1.9,0.0,0.0,0.0,3.7
156.0,266.0,2.0,0.0,0.0,0.0,4.7
173.0,495.0,2.1,0.0,0.0,0.0,4.2
174.0,37.0,1.5,0.0,0.0,0.0,2.9
175.0,41.0,1.8,0.0,0.0,0.0,3.3
177.0,394.0,2.4,0.0,0.0,0.0,5.5
178.0,74.0,1.6,0.0,0.0,0.0,3.2
179.0,50.0,2.0,0.0,0.0,0.0,4.4
180.0,454.0,1.9,0.0,0.0,0.0,4.3
181.0,38.0,2.0,0.0,0.0,0.0,4.2
182.0,457.0,2.4,0.0,0.0,0.0,4.5
185.0,199.0,2.0,0.0,0.0,0.0,3.8
186.0,364.0,2.4,0.0,0.0,0.0,4.6
187.0,227.0,2.3,0.0,0.0,0.0,4.6
188.0,129.0,2.4,0.0,0.0,0.0,5.1
190.0,216.0,2.4,0.0,0.0,0.0,5.0
191.0,347.0,2.1,0.0,0.0,0.0,3.7
160.0,356.0,2.4,0.0,0.0,0.0,4.9
192.0,345.0,2.3,0.0,0.0,0.0,4.5
193.0,106.0,1.9,0.0,0.0,0.0,4.2
196.0,30.0,2.5,0.0,0.0,0.0,5.1
195.0,340.0,1.5,0.0,0.0,0.0,2.7
198.0,134.0,2.0,0.0,0.0,0.0,3.8
199.0,62.0,2.7,0.0,0.0,0.0,4.4
200.0,55.0,1.7,0.0,0.0,0.0,3.3
197.0,74.0,2.3,0.0,0.0,0.0,4.7
202.0,75.0,2.1,0.0,0.0,0.0,3.9
204.0,181.0,2.5,0.0,0.0,0.0,5.3
205.0,401.0,1.8,0.0,0.0,0.0,3.4
206.0,394.0,1.8,0.0,0.0,0.0,3.4
207.0,9.0,2.4,0.0,0.0,0.0,4.7
208.0,61.0,2.2,0.0,0.0,0.0,4.7
209.0,140.0,2.2,0.0,0.0,0.0,4.7
201.0,52.0,1.7,0.0,0.0,0.0,3.4
210.0,234.0,1.9,0.0,0.0,0.0,3.4
211.0,235.0,2.2,0.0,0.0,0.0,4.2
214.0,496.0,2.1,0.0,0.0,0.0,4.7
213.0,359.0,2.3,0.0,0.0,0.0,4.0
217.0,90.0,1.9,0.0,0.0,0.0,3.5
218.0,455.0,2.8,0.0,0.0,0.0,6.2
219.0,283.0,1.5,0.0,0.0,0.0,2.7
216.0,11.0,1.3,0.0,0.0,0.0,2.1
220.0,207.0,2.5,0.0,0.0,0.0,5.0
221.0,292.0,2.2,0.0,0.0,0.0,4.2
223.0,492.0,2.5,0.0,0.0,0.0,4.8
224.0,49.0,1.8,0.0,0.0,0.0,3.6
225.0,129.0,2.4,0.0,0.0,0.0,4.9
226.0,221.0,2.0,0.0,0.0,0.0,4.0
227.0,301.0,2.1,0.0,0.0,0.0,4.1
172.0,91.0,1.6,0.0,0.0,0.0,3.1
228.0,467.0,2.7,0.0,0.0,0.0,5.5
229.0,383.0,1.7,0.0,0.0,0.0,4.0
231.0,44.0,2.0,0.0,0.0,0.0,3.8
230.0,261.0,2.0,0.0,0.0,0.0,4.0
233.0,106.0,1.9,0.0,0.0,0.0,4.3
234.0,422.0,1.9,0.0,0.0,0.0,3.9
235.0,477.0,2.1,0.0,0.0,0.0,4.0
232.0,59.0,2.3,0.0,0.0,0.0,5.1
238.0,35.0,2.3,0.0,0.0,0.0,4.4
239.0,386.0,2.2,0.0,0.0,0.0,4.4
240.0,223.0,2.5,0.0,0.0,0.0,5.1
241.0,398.0,2.0,0.0,0.0,0.0,4.0
242.0,281.0,2.2,0.0,0.0,0.0,5.1
243.0,467.0,2.4,0.0,0.0,0.0,5.0
244.0,58.0,2.0,0.0,0.0,0.0,4.1
236.0,218.0,1.9,0.0,0.0,0.0,4.1
246.0,339.0,2.2,0.0,0.0,0.0,4.3
247.0,359.0,1.7,0.0,0.0,0.0,3.4
248.0,137.0,2.3,0.0,0.0,0.0,4.6
249.0,129.0,2.7,0.0,0.0,0.0,5.8
250.0,245.0,2.3,0.0,0.0,0.0,4.8
251.0,34.0,2.3,0.0,0.0,0.0,5.5
252.0,443.0,1.9,0.0,0.0,0.0,3.7
253.0,232.0,2.3,0.0,0.0,0.0,4.4
254.0,261.0,2.0,0.0,0.0,0.0,4.2
255.0,198.0,2.4,0.0,0.0,0.0,4.6
256.0,114.0,2.1,0.0,0.0,0.0,4.3
257.0,434.0,2.0,0.0,0.0,0.0,4.8
258.0,413.0,1.9,0.0,0.0,0.0,3.7
260.0,185.0,2.2,0.0,0.0,0.0,4.8
261.0,54.0,2.5,0.0,0.0,0.0,5.5
245.0,354.0,2.3,0.0,0.0,0.0,5.1
264.0,91.0,1.7,0.0,0.0,0.0,3.2
265.0,321.0,2.0,0.0,0.0,0.0,3.8
267.0,371.0,2.0,0.0,0.0,0.0,3.6
266.0,198.0,2.2,0.0,0.0,0.0,4.3
269.0,404.0,2.0,0.0,0.0,0.0,4.0
270.0,16.0,2.2,0.0,0.0,0.0,4.6
271.0,283.0,1.8,0.0,0.0,0.0,3.9
268.0,214.0,1.7,0.0,0.0,0.0,3.2
273.0,85.0,2.4,0.0,0.0,0.0,4.5
274.0,27.0,2.9,0.0,0.0,0.0,5.7
275.0,221.0,2.4,0.0,0.0,0.0,5.5
276.0,370.0,2.0,0.0,0.0,0.0,4.2
278.0,176.0,2.1,0.0,0.0,0.0,4.1
279.0,209.0,1.9,0.0,0.0,0.0,4.4
280.0,336.0,2.1,0.0,0.0,0.0,4.7
272.0,422.0,2.5,0.0,0.0,0.0,6.6
281.0,59.0,1.8,0.0,0.0,0.0,4.0
283.0,194.0,1.7,0.0,0.0,0.0,3.7
285.0,124.0,1.7,0.0,0.0,0.0,3.5
284.0,303.0,2.4,0.0,0.0,0.0,4.9
287.0,336.0,2.3,0.0,0.0,0.0,5.2
288.0,161.0,1.8,0.0,0.0,0.0,3.6
289.0,28.0,2.0,0.0,0.0,0.0,4.1
286.0,157.0,2.2,0.0,0.0,0.0,4.1
290.0,97.0,2.3,0.0,0.0,0.0,4.4
291.0,281.0,2.0,0.0,0.0,0.0,3.8
293.0,305.0,3.0,0.0,0.0,0.0,6.8
292.0,196.0,1.9,0.0,0.0,0.0,3.7
295.0,365.0,2.4,0.0,0.0,0.0,4.6
297.0,423.0,2.3,0.0,0.0,0.0,4.4
298.0,281.0,1.9,0.0,0.0,0.0,3.6
299.0,85.0,2.3,0.0,0.0,0.0,4.7
